Publishing Date,City,Address,Type,Description,Price (in €),Number_Room,Number_Bedroom,Surface (in m²),Latitude,Longitude,Link
30/01/23,Ducos,97224,Appartement,Appartement T2 avec jardin privatif,130000,2,0,49.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/231301889368191/
25/01/23,Ducos,97224,Appartement,APPARTEMENT T2,141050,2,0,39.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/231254282474641/
21/01/23,Ducos,97224,Terrain,TERRAIN DE 3 276M²,145000,0,0,0.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/231214432705185/
21/01/23,Ducos,97224,Terrain,TERRAIN DE 2 500M²,145000,0,0,0.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/231214432705182/
14/01/23,Ducos,97224,Terrain,Terrain constructible plat à Fond savane,320000,0,0,0.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/231144153782876/
12/01/23,Ducos,97224,Appartement,"BEL APPARTEMENT T3 SUR LES HAUTEURS, BEL VUE MER",203300,3,2,70.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/231121515395543/
12/01/23,Ducos,97224,Terrain,Terrain à DUCOS,125000,0,0,627.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/231125296772747/
12/01/23,Ducos,97224,Maison / Villa,DUCOS : maison T4 (98 m²) à vendre,479000,4,3,0.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/231124427017898/
11/01/23,Ducos,97224,Appartement,T2 au dernier étage d'une résidence récente,123000,2,0,0.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/231114199258601/
09/01/23,Ducos,97224,Appartement,Bel F3 en RDC dans résidence calme,198000,3,2,0.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/231921397307726/
08/01/23,Ducos,97224,Maison / Villa,Villa 150m² sur deux niveaux avec piscine. Terrain 1000m² vu,624000,4,3,150.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/231813518446736/
06/01/23,Ducos,97224,Parking,Double box Levant 2 Petite Rochelle/ 97224 DUCOS,30000,0,0,0.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/231614501917545/
30/12/22,Ducos,97224,Terrain,TERRAIN DE 1085 M² DANS SECTEUR TRES CALME,119000,0,0,0.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/221230451468093/
22/12/22,Ducos,97224,Appartement,APPARTEMENT NEUF DU STUDIO AU T3 DES 99 675€ TTC,99675,1,0,22.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/221222141818768/
21/12/22,Ducos,97224,Appartement,F3 résidence récente belle terrasse et box,200000,3,2,59.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/221221418911319/
15/12/22,Ducos,97224,Maison / Villa,Maison F6 - Morne Vert-Ducos,477000,6,4,300.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/221215526527048/
14/12/22,Ducos,97224,Appartement,"Vends Appt T2, Ducos",140000,2,0,0.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/221214431195854/
11/12/22,Ducos,97224,Terrain,A VENDRE BEAU TERRAIN CONSTRUCTIBLE DE 1386M2 - DUCOS MARTIN,144000,0,0,0.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/221211135480364/
08/12/22,Ducos,97224,Maison / Villa,MAISON 5 PIÈCES AVEC TÉRRASSE EN PLEIN COEUR DU BOURG - DUCO,339200,5,4,106.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/221285451849461/
08/12/22,Ducos,97224,Local commercial,Local commercial Ducos 500 m2,1498000,0,0,500.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/221284291544345/
05/12/22,Ducos,97224,Appartement,APPARTEMENT T3 AU 3EME ETAGE AVEC VUE MER,182000,3,2,70.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/221251759143754/
05/12/22,Ducos,97224,Appartement,BEL APPARTEMENT T3 AVEC VUE MER,180000,3,2,70.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/221251683946961/
02/12/22,Ducos,97224,Terrain,TERRAIN A BATIR 125000EUR,125000,0,0,592.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/221224458766254/
02/12/22,Ducos,97224,Appartement,Appartement Ducos 3 pièce(s) 64.88 m2,191000,3,2,0.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/221224266929037/
27/11/22,Ducos,97224,Terrain,Grande Parcelle à bâtir,200000,0,0,0.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/221127122691254/
24/11/22,Ducos,97224,Appartement,Appartement T2 39m2 - 149 034€,149034,2,0,0.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/221124134218178/
24/11/22,Ducos,97224,Maison / Villa,Maison créole,435000,4,3,120.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/221124515411141/
15/11/22,Ducos,97224,Appartement,Appartement sis Residence le Lagon de Florila Ducos 2 pièces,168454,2,0,0.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/221115131218177/
15/11/22,Ducos,97224,Appartement,Appartement sis Résidence Jardins d'Emeraude Ducos 3 pièces,162750,3,0,0.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/221115131218168/
15/11/22,Ducos,97224,Appartement,Appartement sis Résidence Pivoine Lot Lagon Florida Ducos 5 ,358000,5,0,0.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/221115131217925/
15/11/22,Ducos,97224,Appartement,Appartement sis Résidence Pivoine Lot Lagon Florida Ducos 3 ,280000,3,0,0.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/221115131217922/
15/11/22,Ducos,97224,Appartement,Appartement sis Résidence Pivoine Lot Lagon Florida Ducos 3 ,260000,3,0,0.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/221115131217919/
