Publishing Date,City,Address,Type,Description,Price (in €),Number_Room,Number_Bedroom,Surface (in m²),Latitude,Longitude,Link,Salles d'eau,Toilettes,Surface séjour,Surface terrasse,Etage,Nbre d'étages,Exposition,Salles de bain,Vue,Environnement,Surface totale,Taxe foncière,Surface terrain,Taxe habitation
30/01/23,Ducos,97224,Appartement,Appartement T2 avec jardin privatif,130000,2,0,49.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/231301889368191/,1,1,0.0,0.0,2,4,E,0,0,0,0.0,0.0,0.0,0.0
25/01/23,Ducos,97224,Appartement,APPARTEMENT T2,141050,2,0,39.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/231254282474641/,0,1,0.0,0.0,2,0,0,1,0,0,0.0,0.0,0.0,0.0
12/01/23,Ducos,97224,Appartement,"BEL APPARTEMENT T3 SUR LES HAUTEURS, BEL VUE MER",203300,3,2,70.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/231121515395543/,1,1,0.0,0.0,4,5,0,0,Mer,Résidentiel,0.0,0.0,0.0,0.0
11/01/23,Ducos,97224,Appartement,T2 au dernier étage d'une résidence récente,123000,2,0,0.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/231114199258601/,1,1,0.0,0.0,6,6,0,0,0,0,0.0,0.0,0.0,0.0
09/01/23,Ducos,97224,Appartement,Bel F3 en RDC dans résidence calme,198000,3,2,0.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/231921397307726/,1,1,0.0,0.0,0,3,SO,0,Campagne,Résidentiel,0.0,970.0,0.0,0.0
22/12/22,Ducos,97224,Appartement,APPARTEMENT NEUF DU STUDIO AU T3 DES 99 675€ TTC,99675,1,0,22.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/221222141818768/,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
21/12/22,Ducos,97224,Appartement,F3 résidence récente belle terrasse et box,200000,3,2,59.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/221221418911319/,0,1,0.0,6.0,1,4,0,1,0,0,65.0,0.0,0.0,0.0
14/12/22,Ducos,97224,Appartement,"Vends Appt T2, Ducos",140000,2,0,0.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/221214431195854/,0,0,0.0,0.0,0,2,0,0,0,0,0.0,0.0,0.0,0.0
05/12/22,Ducos,97224,Appartement,APPARTEMENT T3 AU 3EME ETAGE AVEC VUE MER,182000,3,2,70.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/221251759143754/,1,1,0.0,14.0,3,5,0,0,Mer,Résidentiel,84.0,1291.0,0.0,0.0
05/12/22,Ducos,97224,Appartement,BEL APPARTEMENT T3 AVEC VUE MER,180000,3,2,70.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/221251683946961/,1,1,0.0,14.0,2,5,0,0,Mer,Résidentiel,84.0,1700.0,0.0,0.0
02/12/22,Ducos,97224,Appartement,Appartement Ducos 3 pièce(s) 64.88 m2,191000,3,2,0.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/221224266929037/,0,0,0.0,0.0,0,5,0,1,0,0,0.0,0.0,0.0,0.0
24/11/22,Ducos,97224,Appartement,Appartement T2 39m2 - 149 034€,149034,2,0,0.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/221124134218178/,1,0,0.0,0.0,2,2,0,0,Ville,Urbain,0.0,0.0,0.0,0.0
15/11/22,Ducos,97224,Appartement,Appartement sis Residence le Lagon de Florila Ducos 2 pièces,168454,2,0,0.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/221115131218177/,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
15/11/22,Ducos,97224,Appartement,Appartement sis Résidence Jardins d'Emeraude Ducos 3 pièces,162750,3,0,0.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/221115131218168/,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
15/11/22,Ducos,97224,Appartement,Appartement sis Résidence Pivoine Lot Lagon Florida Ducos 5 ,358000,5,0,0.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/221115131217925/,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
15/11/22,Ducos,97224,Appartement,Appartement sis Résidence Pivoine Lot Lagon Florida Ducos 3 ,280000,3,0,0.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/221115131217922/,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
15/11/22,Ducos,97224,Appartement,Appartement sis Résidence Pivoine Lot Lagon Florida Ducos 3 ,260000,3,0,0.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/221115131217919/,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
15/11/22,Ducos,97224,Appartement,Appartement sis Résidence Pivoine Lot Lagon Florida Ducos 2 ,220000,2,0,0.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/221115131217916/,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
15/11/22,Ducos,97224,Appartement,Appartement sis Résidence Pivoine Lot Lagon Florida Ducos 3 ,250000,3,0,0.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/221115131217913/,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
15/11/22,Ducos,97224,Appartement,Appartement sis Résidence Pivoine Lot Lagon Florida Ducos 3 ,250000,3,0,0.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/221115131217910/,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
15/11/22,Ducos,97224,Appartement,Appartement sis Résidence Pivoine Lot Lagon Florida Ducos 2 ,220000,2,0,0.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/221115131217907/,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
30/10/22,Ducos,97224,Appartement,Appartement à vendre Ducos,279000,4,3,99.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/221012434476649/,2,2,0.0,0.0,3,3,0,0,0,0,0.0,0.0,0.0,0.0
30/10/22,Ducos,97224,Appartement,APPARTEMENTS NEUFS T3 A 165 168€,165168,3,2,44.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/229271328540711/,1,0,0.0,0.0,0,2,0,0,0,0,0.0,0.0,0.0,0.0
